               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11008,            0.058529,            0.056838,             0.23913,             0.14886,            0.054792,            0.018396,            0.090028,            0.043901,            0.053304,            0.070395,           0.0032895,           0.0032895
                   1,            0.081396,            0.047369,            0.049363,             0.17273,             0.31082,             0.19787,            0.083381,            0.080891,            0.034203,            0.045147,            0.040373,            0.006601,            0.006601
                   2,            0.072665,              0.0457,            0.042476,             0.15186,             0.50761,              0.2041,            0.069286,            0.070698,            0.033473,            0.037347,            0.010329,           0.0098904,           0.0098904
                   3,            0.064979,            0.042823,            0.035933,             0.29677,              0.6849,             0.40985,             0.17874,            0.049998,            0.031786,            0.029976,            0.009901,            0.009901,            0.009901
                   4,               0.056,            0.040614,            0.029141,             0.58172,             0.74591,             0.73878,             0.39262,            0.039111,            0.029037,            0.023602,            0.009901,            0.009901,            0.009901
                   5,            0.049552,            0.038055,            0.023381,             0.62481,             0.78729,             0.75717,             0.37875,            0.042537,             0.02738,            0.017258,            0.009868,            0.009868,            0.009868
                   6,            0.048129,            0.037092,            0.017535,               0.858,             0.87629,             0.91493,             0.45743,             0.03744,            0.026785,            0.012499,            0.009835,            0.009835,            0.009835
                   7,            0.045147,            0.035903,            0.012984,             0.85361,             0.86273,             0.90456,             0.49762,            0.037354,            0.026397,           0.0083489,            0.009802,            0.009802,            0.009802
                   8,            0.043091,            0.035731,            0.010801,             0.86679,             0.90688,              0.9357,              0.5287,            0.034335,            0.027157,           0.0076034,            0.009769,            0.009769,            0.009769
                   9,            0.041187,            0.035489,            0.009213,             0.91521,             0.91835,             0.95767,             0.55662,            0.033969,            0.026329,           0.0065792,            0.009736,            0.009736,            0.009736
                  10,            0.039549,             0.03401,           0.0080679,             0.94864,             0.92967,             0.96906,             0.61383,            0.027921,            0.023894,           0.0059206,            0.009703,            0.009703,            0.009703
                  11,            0.039192,            0.033781,           0.0077102,             0.96089,             0.94211,             0.97152,             0.54054,            0.032528,            0.024265,           0.0048648,             0.00967,             0.00967,             0.00967
